Flight No,Airline,Departure,DEP_CODE,Terminal,Arrival,ARR_CODE,Scheduled_time,Scheduled_date,Estimated_time,Estimated_date,Aircraft
AI813,Air India,Delhi ,DEL,T2,Bengaluru,BLR,10:55:00,2023-10-07,10:55:00,2023-10-07,321
QP1110,Akasa Air,Mumbai ,BOM,T1,Bengaluru,BLR,11:05:00,2023-10-07,10:55:00,2023-10-07,7M8
I51536,AirAsia India,Kolkata ,CCU,T2,Bengaluru,BLR,11:00:00,2023-10-07,11:00:00,2023-10-07,A320
6E6542,IndiGo,Guwahati ,GAU,T1,Bengaluru,BLR,11:10:00,2023-10-07,11:00:00,2023-10-07,32A
6E6634,IndiGo,Chandigarh ,IXC,T1,Bengaluru,BLR,11:15:00,2023-10-07,11:05:00,2023-10-07,32Q
AI639,Air India,Mumbai ,BOM,T2,Bengaluru,BLR,11:10:00,2023-10-07,11:10:00,2023-10-07,321
6E764,IndiGo,Kolkata ,CCU,T1,Bengaluru,BLR,11:20:00,2023-10-07,11:10:00,2023-10-07,32N
6E823,IndiGo,Ahmedabad ,AMD,T1,Bengaluru,BLR,11:25:00,2023-10-07,11:15:00,2023-10-07,32Q
I51565,AirAsia India,Bhubaneswar ,BBI,T2,Bengaluru,BLR,11:20:00,2023-10-07,11:20:00,2023-10-07,A320
AI515,Air India,Hyderabad ,HYD,T2,Bengaluru,BLR,11:25:00,2023-10-07,11:25:00,2023-10-07,319
6E5212,IndiGo,Mumbai ,BOM,T1,Bengaluru,BLR,11:35:00,2023-10-07,11:25:00,2023-10-07,32Q
6E703,IndiGo,Bhopal ,BHO,T1,Bengaluru,BLR,11:40:00,2023-10-07,11:30:00,2023-10-07,32Q
6E6482,IndiGo,Kochi ,COK,T1,Bengaluru,BLR,11:40:00,2023-10-07,11:30:00,2023-10-07,32N
6E325,IndiGo,Lucknow ,LKO,T1,Bengaluru,BLR,11:45:00,2023-10-07,11:35:00,2023-10-07,32A
6E406,IndiGo,Raipur ,RPR,T1,Bengaluru,BLR,11:50:00,2023-10-07,11:40:00,2023-10-07,32N
