Time,Flight_no,Arrival,Airlines,Aircraft
19:30:00,6E5376,Mumbai (BOM),IndiGo,32Q
19:30:00,6E7385,Madurai (IXM),IndiGo,AT7
19:35:00,6E451,Lucknow (LKO),IndiGo,32Q
19:40:00,UK818,Delhi (DEL),Vistara,321
19:45:00,6E486,Nagpur (NAG),IndiGo,32Q
19:50:00,6E435,Cochin (COK),IndiGo,32N
19:50:00,6E838,Jaipur (JAI),IndiGo,32Q
19:55:00,I5991,Cochin (COK),AIX Connect,320
19:55:00,UK850,Mumbai (BOM),Vistara,320
20:00:00,6E855,Hyderabad (HYD),IndiGo,32N
20:00:00,6E7446,Kannur (CNN),IndiGo,AT7
20:05:00,6E478,Chennai (MAA),IndiGo,32N
20:05:00,6E6875,Coimbatore (CJB),IndiGo,32Q
20:10:00,SG8198,Delhi (DEL),SpiceJet,7M8
20:10:00,6E309,Goa (GOI),IndiGo,32A
20:15:00,6E676,Kolkata (CCU),IndiGo,32A
20:20:00,6E578,Mangalore (IXE),IndiGo,32A
20:25:00,6E6724,Chandigarh (IXC),IndiGo,32Q
20:35:00,6E2406,Delhi (DEL),IndiGo,32Q
20:35:00,6E7165,Tiruchirapalli (TRZ),IndiGo,AT7
20:40:00,I51563,Visakhapatnam (VTZ),AIX Connect,320
20:40:00,6E5083,Mumbai (BOM),IndiGo,32Q
20:45:00,SG3008,Thiruvananthapuram (TRV),SpiceJet,DH8
20:45:00,6E6337,Pune (PNQ),IndiGo,32Q
20:50:00,EK567,Dubai (DXB),Emirates,77W
20:55:00,6E6423,Ahmedabad (AMD),IndiGo,32Q
21:00:00,AI808,Delhi (DEL),Air India,319
21:05:00,EY239,Abu Dhabi (AUH),Etihad Airways,B789 
21:10:00,UK814,Delhi (DEL),Vistara,320
21:10:00,UL172,Colombo (CMB),SriLankan Airlines,320
21:10:00,6E1005,Singapore (SIN),IndiGo,32Q
21:15:00,I5974,Pune (PNQ),AIX Connect,320
21:20:00,6E747,Indore (IDR),IndiGo,32N
21:20:00,6E6541,Guwahati (GAU),IndiGo,32A
21:25:00,AI642,Mumbai (BOM),Air India,320
21:30:00,6E806,Goa (GOI),IndiGo,32Q
21:35:00,UK840,Mumbai (BOM),Vistara,320
21:40:00,I51427,Cochin (COK),AIX Connect,320
21:40:00,QP1317,Pune (PNQ),Akasa Air,7M8
21:45:00,6E6347,Mumbai (BOM),IndiGo,32N
21:45:00,6E6626,Thiruvananthapuram (TRV),IndiGo,32Q
21:55:00,6E975,Kolkata (CCU),IndiGo,32A
22:00:00,6E684,Hyderabad (HYD),IndiGo,32A
22:00:00,6E6813,Delhi (DEL),IndiGo,32Q
22:05:00,6E6919,Cochin (COK),IndiGo,32N
22:15:00,6E6273,Jaipur (JAI),IndiGo,32Q
22:30:00,I5558,Kolkata (CCU),AIX Connect,320
22:30:00,I5670,Goa (GOI),AIX Connect,320
22:40:00,6E385,Pune (PNQ),IndiGo,32N
22:45:00,6E939,Mumbai (BOM),IndiGo,32N
23:00:00,6E6178,Hyderabad (HYD),IndiGo,32Q
23:05:00,SQ511,Singapore (SIN),Singapore Airlines,359
23:15:00,6E2053,Delhi (DEL),IndiGo,32Q
23:20:00,FD138,Bangkok (DMK),Thai AirAsia,320
23:25:00,IX2903,Mumbai (BOM),Air India Express,738
23:25:00,6E952,Kolkata (CCU),IndiGo,32N
23:30:00,I5992,Kolkata (CCU),AIX Connect,320
23:50:00,I5821,Pune (PNQ),AIX Connect,320
23:50:00,6E482,Chennai (MAA),IndiGo,32Q
