Flight No,Airline,Scheduled,Estimated time,Departure,DEP_CODE,Gate,Terminal,Arrival,ARR_CODE,
6E7223,IndiGo,"14:15   07, Oct.","14:15   07, Oct.",Bengaluru,(BLR),,,Vijayawada  ,VGA,
I51782,AirAsia India,"14:20   07, Oct.","14:20   07, Oct.",Bengaluru,(BLR),,T2,Bhubaneswar  ,BBI,
IX1228,Air India Express,"14:25   07, Oct.","14:25   07, Oct.",Bengaluru,(BLR),,T2,Jaipur  ,JAI,
I5613,AirAsia India,"14:25   07, Oct.","14:25   07, Oct.",Bengaluru,(BLR),,T2,Delhi  ,DEL,
QP1377,Akasa Air,"14:30   07, Oct.","14:30   07, Oct.",Bengaluru,(BLR),,,Guwahati  ,GAU,
S5131,Star Air,"14:35   07, Oct.","14:35   07, Oct.",Bengaluru,(BLR),,T2,Jamnagar  ,JGA,
AI602,Air India,"14:35   07, Oct.","14:35   07, Oct.",Bengaluru,(BLR),,T2,Mumbai  ,BOM,
6E6162,IndiGo,"14:55   07, Oct.","14:55   07, Oct.",Bengaluru,(BLR),,,Mangaluru  ,IXE,
AI511,Air India,"14:55   07, Oct.","14:55   07, Oct.",Bengaluru,(BLR),,T2,Delhi  ,DEL,
I5820,AirAsia India,"15:00   07, Oct.","15:00   07, Oct.",Bengaluru,(BLR),,T2,Guwahati  ,GAU,
6E5351,IndiGo,"15:00   07, Oct.","15:00   07, Oct.",Bengaluru,(BLR),,,Mumbai  ,BOM,
6E7231,IndiGo,"15:05   07, Oct.","15:05   07, Oct.",Bengaluru,(BLR),,,Rajahmundry  ,RJA,
S5159,Star Air,"15:10   07, Oct.","15:10   07, Oct.",Bengaluru,(BLR),,T2,Bidar  ,IXX,
9I527,Alliance Air,"15:10   07, Oct.","15:10   07, Oct.",Bengaluru,(BLR),,,Toranagallu  ,VDY,
6E6621,IndiGo,"15:20   07, Oct.","15:20   07, Oct.",Bengaluru,(BLR),,,Delhi  ,DEL,
SG498,SpiceJet,"15:30   07, Oct.","15:30   07, Oct.",Bengaluru,(BLR),,,Patna  ,PAT,
6E851,IndiGo,"15:35   07, Oct.","15:35   07, Oct.",Bengaluru,(BLR),,,Chandigarh  ,IXC,
QP1134,Akasa Air,"15:35   07, Oct.","15:35   07, Oct.",Bengaluru,(BLR),,,Guwahati  ,GAU,
6E342,IndiGo,"15:40   07, Oct.","15:40   07, Oct.",Bengaluru,(BLR),,,Patna  ,PAT,
WY284,Oman Air,"15:40   07, Oct.","15:40   07, Oct.",Bengaluru,(BLR),,T2,Muscat  ,MCT,
I51983,AirAsia India,"15:40   07, Oct.","15:40   07, Oct.",Bengaluru,(BLR),,T2,Goa  ,GOI,
QP1138,Akasa Air,"15:45   07, Oct.","15:45   07, Oct.",Bengaluru,(BLR),,,Mumbai  ,BOM,
6E6574,IndiGo,"15:45   07, Oct.","15:45   07, Oct.",Bengaluru,(BLR),,,Pune  ,PNQ,
6E934,IndiGo,"15:50   07, Oct.","15:50   07, Oct.",Bengaluru,(BLR),,,Raipur  ,RPR,
SG3998,SpiceJet,"15:50   07, Oct.","15:50   07, Oct.",Bengaluru,(BLR),,,Pondicherry  ,PNY,
6E6572,IndiGo,"16:05   07, Oct.","16:05   07, Oct.",Bengaluru,(BLR),,,Kolkata  ,CCU,
6E6067,IndiGo,"16:10   07, Oct.","16:10   07, Oct.",Bengaluru,(BLR),,,Hyderabad  ,HYD,
6E6992,IndiGo,"16:10   07, Oct.","16:10   07, Oct.",Bengaluru,(BLR),,,Coimbatore  ,CJB,
I51455,AirAsia India,"16:15   07, Oct.","16:15   07, Oct.",Bengaluru,(BLR),,T2,Bhubaneswar  ,BBI,
I52461,AirAsia India,"16:15   07, Oct.","16:15   07, Oct.",Bengaluru,(BLR),,T2,Guwahati  ,GAU,
6E7258,IndiGo,"16:25   07, Oct.","16:25   07, Oct.",Bengaluru,(BLR),,,Madurai  ,IXM,
6E7162,IndiGo,"16:25   07, Oct.","16:25   07, Oct.",Bengaluru,(BLR),,,Hubballi  ,HBX,
6E5251,IndiGo,"16:30   07, Oct.","16:30   07, Oct.",Bengaluru,(BLR),,,Mumbai  ,BOM,
6E7449,IndiGo,"16:30   07, Oct.","16:30   07, Oct.",Bengaluru,(BLR),,,Vijayawada  ,VGA,
6E6743,IndiGo,"16:35   07, Oct.","16:35   07, Oct.",Bengaluru,(BLR),,,Indore  ,IDR,
6E6012,IndiGo,"16:40   07, Oct.","16:40   07, Oct.",Bengaluru,(BLR),,,Chennai  ,MAA,
6E5039,IndiGo,"16:45   07, Oct.","16:45   07, Oct.",Bengaluru,(BLR),,,Delhi  ,DEL,
6E7363,IndiGo,"16:45   07, Oct.","16:45   07, Oct.",Bengaluru,(BLR),,,Kannur  ,CNN,
6E359,IndiGo,"16:50   07, Oct.","16:50   07, Oct.",Bengaluru,(BLR),,,Mangaluru  ,IXE,
6E528,IndiGo,"16:50   07, Oct.","16:50   07, Oct.",Bengaluru,(BLR),,,Pune  ,PNQ,
6E239,IndiGo,"16:50   07, Oct.","16:50   07, Oct.",Bengaluru,(BLR),,,Ahmedabad  ,AMD,
6E969,IndiGo,"17:05   07, Oct.","17:05   07, Oct.",Bengaluru,(BLR),,,Visakhapatnam  ,VTZ,
6E226,IndiGo,"17:10   07, Oct.","17:10   07, Oct.",Bengaluru,(BLR),,,Kochi  ,COK,
9I547,Alliance Air,"17:10   07, Oct.","17:10   07, Oct.",Bengaluru,(BLR),,,Goa  ,GOI,
