Time,Flight_no,Departure,Airlines ,Aircraft
17:10:00,6E6402,Indore (IDR),IndiGo,32N
17:25:00,6E388,Mangalore (IXE),IndiGo,32N
17:30:00,UK512,Goa (GOX),Vistara,320
17:30:00,6E6754,Nagpur (NAG),IndiGo,32N
17:35:00,UK756,Guwahati (GAU),Vistara,320
17:40:00,6E929,Chennai (MAA),IndiGo,32N
17:40:00,9I528,Vidyanagar (VDY),Alliance Air,AT7
17:45:00,S5160,Bidar (IXX),Star Air,ER4
17:45:00,UK853,Mumbai (BOM),Vistara,320
17:45:00,6E517,Aurangabad (IXU),IndiGo,32N
17:55:00,6E7423,Vijayawada (VGA),IndiGo,AT7
18:05:00,S5151,Bidar (IXX),Star Air,ERJ
18:10:00,SG4004,Shirdi (SAG),SpiceJet,DH8
18:10:00,6E6319,Hyderabad (HYD),IndiGo,32Q
18:15:00,QP1365,Pune (PNQ),Akasa Air,7M8
18:15:00,6E1128,Male (MLE),IndiGo,32Q
18:15:00,QP1401,Lucknow (LKO),Akasa Air,7M8
18:20:00,UK658,Chandigarh (IXC),Vistara,320
18:20:00,6E781,Delhi (DEL),IndiGo,32Q
18:25:00,AI607,Mumbai (BOM),Air India,321
18:25:00,I51531,Siliguri (IXB),AirAsia India,A320 
18:35:00,AI815,Delhi (DEL),Air India,321
18:35:00,6E532,Coimbatore (CJB),IndiGo,32Q
18:35:00,6E5221,Mumbai (BOM),IndiGo,32Q
18:45:00,UK817,Delhi (DEL),Vistara,321
18:55:00,6E435,Lucknow (LKO),IndiGo,32N
19:00:00,6E525,Agartala (IXA),IndiGo,32Q
19:05:00,6E6417,Hyderabad (HYD),IndiGo,32N
19:05:00,6E7232,Rajahmundry (RJA),IndiGo,AT7
19:10:00,6E141,Chennai (MAA),IndiGo,32A
19:10:00,6E412,Udaipur (UDR),IndiGo,32Q
19:15:00,UK849,Mumbai (BOM),Vistara,320
19:15:00,6E478,Amritsar (ATQ),IndiGo,32N
19:20:00,EK566,Dubai (DXB),Emirates,77W
19:20:00,I5991,Kolkata (CCU),AirAsia India,A320 
19:20:00,6E757,Kolkata (CCU),IndiGo,32A
19:25:00,SG496,Darbhanga (DBR),SpiceJet,7M8
19:30:00,6E347,Dehradun (DED),IndiGo,32A
19:35:00,6E6614,Chandigarh (IXC),IndiGo,32Q
19:35:00,6E7357,Madurai (IXM),IndiGo,AT7
19:40:00,EY238,Abu Dhabi (AUH),Etihad Airways,B789 
19:45:00,6E7364,Kannur (CNN),IndiGo,AT7
19:45:00,QP1139,Mumbai (BOM),Akasa Air,7M8
19:50:00,QP1324,Guwahati (GAU),Akasa Air,7M8
19:50:00,I55002,Delhi (DEL),AirAsia India,A320 
19:55:00,I51563,Bhubaneswar (BBI),AIX Connect,320
19:55:00,6E808,Vadodara (BDQ),IndiGo,32Q
20:00:00,6E2487,Delhi (DEL),IndiGo,32Q
