Flight No,Airline,Scheduled,Estimated time,Departure,DEP_CODE,Terminal,Arrival,ARR_CODE
6E7113,IndiGo,"10:35   07, Oct.","10:25   07, Oct.",Rajahmundry   ,RJA,,Bengaluru, (BLR)
6E308,IndiGo,"10:45   07, Oct.","10:35   07, Oct.",Delhi   ,DEL,,Bengaluru, (BLR)
6E358,IndiGo,"10:45   07, Oct.","10:35   07, Oct.",Mangaluru   ,IXE,,Bengaluru, (BLR)
MH104,Malaysia Airlines,"10:40   07, Oct.","10:40   07, Oct.",Kuala Lumpur   ,KUL,T2,Bengaluru, (BLR)
I5740,AirAsia India,"10:40   07, Oct.","10:40   07, Oct.",Delhi   ,DEL,T2,Bengaluru, (BLR)
6E144,IndiGo,"10:50   07, Oct.","10:40   07, Oct.",Varanasi   ,VNS,,Bengaluru, (BLR)
UK863,Vistara,"10:50   07, Oct.","10:50   07, Oct.",Mumbai   ,BOM,T2,Bengaluru, (BLR)
UK815,Vistara,"10:50   07, Oct.","10:50   07, Oct.",Delhi   ,DEL,T2,Bengaluru, (BLR)
6E247,IndiGo,"11:00   07, Oct.","10:50   07, Oct.",Patna   ,PAT,,Bengaluru, (BLR)
SQ508,Singapore Airlines,"10:55   07, Oct.","10:55   07, Oct.",Singapore   ,SIN,T2,Bengaluru, (BLR)
AI813,Air India,"10:55   07, Oct.","10:55   07, Oct.",Delhi   ,DEL,T2,Bengaluru, (BLR)
QP1110,Akasa Air,"11:05   07, Oct.","10:55   07, Oct.",Mumbai   ,BOM,,Bengaluru, (BLR)
I51536,AirAsia India,"11:00   07, Oct.","11:00   07, Oct.",Kolkata   ,CCU,T2,Bengaluru, (BLR)
6E6542,IndiGo,"11:10   07, Oct.","11:00   07, Oct.",Guwahati   ,GAU,,Bengaluru, (BLR)
6E6634,IndiGo,"11:15   07, Oct.","11:05   07, Oct.",Chandigarh   ,IXC,,Bengaluru, (BLR)
AI639,Air India,"11:10   07, Oct.","11:10   07, Oct.",Mumbai   ,BOM,T2,Bengaluru, (BLR)
6E764,IndiGo,"11:20   07, Oct.","11:10   07, Oct.",Kolkata   ,CCU,,Bengaluru, (BLR)
6E823,IndiGo,"11:25   07, Oct.","11:15   07, Oct.",Ahmedabad   ,AMD,,Bengaluru, (BLR)
I51565,AirAsia India,"11:20   07, Oct.","11:20   07, Oct.",Bhubaneswar   ,BBI,T2,Bengaluru, (BLR)
AI515,Air India,"11:25   07, Oct.","11:25   07, Oct.",Hyderabad   ,HYD,T2,Bengaluru, (BLR)
6E5212,IndiGo,"11:35   07, Oct.","11:25   07, Oct.",Mumbai   ,BOM,,Bengaluru, (BLR)
6E703,IndiGo,"11:40   07, Oct.","11:30   07, Oct.",Bhopal   ,BHO,,Bengaluru, (BLR)
6E6482,IndiGo,"11:40   07, Oct.","11:30   07, Oct.",Kochi   ,COK,,Bengaluru, (BLR)
6E325,IndiGo,"11:45   07, Oct.","11:35   07, Oct.",Lucknow   ,LKO,,Bengaluru, (BLR)
6E406,IndiGo,"11:50   07, Oct.","11:40   07, Oct.",Raipur   ,RPR,,Bengaluru, (BLR)
I51781,AirAsia India,"11:45   07, Oct.","11:45   07, Oct.",Guwahati   ,GAU,T2,Bengaluru, (BLR)
UK801,Vistara,"11:50   07, Oct.","11:50   07, Oct.",Delhi   ,DEL,T2,Bengaluru, (BLR)
6E2069,IndiGo,"12:05   07, Oct.","11:55   07, Oct.",Delhi   ,DEL,,Bengaluru, (BLR)
6E6892,IndiGo,"12:15   07, Oct.","12:05   07, Oct.",Chennai   ,MAA,,Bengaluru, (BLR)
9I502,Alliance Air,"12:10   07, Oct.","12:10   07, Oct.",Vijayawada   ,VGA,,Bengaluru, (BLR)
I51453,AirAsia India,"12:10   07, Oct.","12:10   07, Oct.",Kolkata   ,CCU,T2,Bengaluru, (BLR)
I51426,AirAsia India,"12:25   07, Oct.","12:25   07, Oct.",Lucknow   ,LKO,T2,Bengaluru, (BLR)
6E445,IndiGo,"12:35   07, Oct.","12:25   07, Oct.",Bagdogra   ,IXB,,Bengaluru, (BLR)
SG328,SpiceJet,"12:30   07, Oct.","12:30   07, Oct.",Kolkata   ,CCU,,Bengaluru, (BLR)
I51529,AirAsia India,"12:30   07, Oct.","12:30   07, Oct.",Hyderabad   ,HYD,T2,Bengaluru, (BLR)
AI506,Air India,"12:30   07, Oct.","12:30   07, Oct.",Delhi   ,DEL,T2,Bengaluru, (BLR)
6E6523,IndiGo,"12:40   07, Oct.","12:30   07, Oct.",Ahmedabad   ,AMD,,Bengaluru, (BLR)
6E172,IndiGo,"12:40   07, Oct.","12:30   07, Oct.",Mangaluru   ,IXE,,Bengaluru, (BLR)
6E7286,IndiGo,"12:50   07, Oct.","12:40   07, Oct.",Belgaum   ,IXG,,Bengaluru, (BLR)
6E196,IndiGo,"12:50   07, Oct.","12:40   07, Oct.",Kochi   ,COK,,Bengaluru, (BLR)
6E661,IndiGo,"12:50   07, Oct.","12:40   07, Oct.",Thiruvananthapuram   ,TRV,,Bengaluru, (BLR)
SG2928,SpiceJet,"12:50   07, Oct.","12:50   07, Oct.",Gwalior   ,GWL,,Bengaluru, (BLR)
6E5069,IndiGo,"13:00   07, Oct.","12:50   07, Oct.",Mumbai   ,BOM,,Bengaluru, (BLR)
6E6567,IndiGo,"13:10   07, Oct.","13:00   07, Oct.",Hyderabad   ,HYD,,Bengaluru, (BLR)
6E6584,IndiGo,"13:25   07, Oct.","13:15   07, Oct.",Goa   ,GOX,,Bengaluru, (BLR)
6E6797,IndiGo,"13:35   07, Oct.","13:25   07, Oct.",Delhi   ,DEL,,Bengaluru, (BLR)
I5972,AirAsia India,"13:30   07, Oct.","13:30   07, Oct.",Kochi   ,COK,T2,Bengaluru, (BLR)
6E7223,IndiGo,"13:40   07, Oct.","13:30   07, Oct.",Madurai   ,IXM,,Bengaluru, (BLR)
QP1373,Akasa Air,"13:45   07, Oct.","13:35   07, Oct.",Bagdogra   ,IXB,,Bengaluru, (BLR)
S5132,Star Air,"13:50   07, Oct.","13:40   07, Oct.",Jamnagar   ,JGA,T2,Bengaluru, (BLR)
6E6379,IndiGo,"13:50   07, Oct.","13:40   07, Oct.",Prayagraj   ,IXD,,Bengaluru, (BLR)
IX1613,Air India Express,"13:50   07, Oct.","13:50   07, Oct.",Jaipur   ,JAI,T2,Bengaluru, (BLR)
