Flight No,Airline,Departure,DEP_CODE,Terminal,Arrival,ARR_CODE,Scheduled_Time,Scheduled_date,Estimated_time,Estimated_date,Aircraft
6E6189,IndiGo,Bengaluru,BLR,T1,Chennai ,MAA,11:35:00,2023-10-07,11:35:00,2023-10-07,32Q
SQ509,Singapore Airlines,Bengaluru,BLR,T2,Singapore ,SIN,11:45:00,2023-10-07,11:45:00,2023-10-07,7M8
AI507,Air India,Bengaluru,BLR,T2,Delhi ,DEL,11:45:00,2023-10-07,11:45:00,2023-10-07,321
SV867,Saudia Arabian Airlines,Bengaluru,BLR,T2,Jeddah ,JED,11:50:00,2023-10-07,11:50:00,2023-10-07,A333
6E6144,IndiGo,Bengaluru,BLR,T1,Thiruvananthapuram ,TRV,11:50:00,2023-10-07,11:50:00,2023-10-07,32A
I51562,AirAsia India,Bengaluru,BLR,T2,Kolkata ,CCU,11:55:00,2023-10-07,11:55:00,2023-10-07,A320
MH105,Malaysia Airlines,Bengaluru,BLR,T2,Kuala Lumpur ,KUL,12:00:00,2023-10-07,12:00:00,2023-10-07,738
6E869,IndiGo,Bengaluru,BLR,T1,Delhi ,DEL,12:00:00,2023-10-07,12:00:00,2023-10-07,32Q
6E503,IndiGo,Bengaluru,BLR,T1,Kolkata ,CCU,12:00:00,2023-10-07,12:00:00,2023-10-07,32N
AI622,Air India,Bengaluru,BLR,T2,Mumbai ,BOM,12:05:00,2023-10-07,12:05:00,2023-10-07,321
6E1167,IndiGo,Bengaluru,BLR,T2,Colombo ,CMB,12:10:00,2023-10-07,12:10:00,2023-10-07,32N
I51537,AirAsia India,Bengaluru,BLR,T2,Bagdogra ,IXB,12:10:00,2023-10-07,12:10:00,2023-10-07,A320
6E6595,IndiGo,Bengaluru,BLR,T1,Ahmedabad ,AMD,12:15:00,2023-10-07,12:15:00,2023-10-07,32Q
6E5293,IndiGo,Bengaluru,BLR,T1,Mumbai ,BOM,12:15:00,2023-10-07,12:15:00,2023-10-07,32Q
6E703,IndiGo,Bengaluru,BLR,T1,Kochi ,COK,12:20:00,2023-10-07,12:20:00,2023-10-07,32Q
6E6366,IndiGo,Bengaluru,BLR,T1,Visakhapatnam ,VTZ,12:30:00,2023-10-07,12:30:00,2023-10-07,32N
QP1104,Akasa Air,Bengaluru,BLR,T1,Mumbai ,BOM,12:35:00,2023-10-07,12:35:00,2023-10-07,7M8
